          0                 1                 2               3               4              5
   100.000000       58.4594917       31.1251717       22.9090557       31.3841209       50.0000000    
   100.000000       58.7560463       31.5242634       23.2574844       31.5958099       50.0000000    
   100.000000       59.0485497       31.9201584       23.6041164       31.8059349       50.0000000    
   100.000000       59.3371048       32.3128662       23.9489269       32.0145226       50.0000000    
   100.000000       59.6218109       32.7024002       24.2918930       32.2215996       50.0000000    
   100.000000       59.9027634       33.0887718       24.6329956       32.4271927       50.0000000    
   100.000000       60.1800499       33.4720001       24.9722137       32.6313210       50.0000000    
   100.000000       60.4537621       33.8520966       25.3095303       32.8340073       50.0000000    
   100.000000       60.7239799       34.2290802       25.6449299       33.0352745       50.0000000    
   100.000000       60.9907875       34.6029663       25.9783974       33.2351379       50.0000000    
   100.000000       61.2542572       34.9737740       26.3099194       33.4336205       50.0000000    
   100.000000       61.5144691       35.3415222       26.6394844       33.6307373       50.0000000    
   100.000000       61.7714958       35.7062263       26.9670811       33.8265038       50.0000000    
   100.000000       62.0254021       36.0679092       27.2927017       34.0209351       50.0000000    
   100.000000       62.2762604       36.4265900       27.6163368       34.2140465       50.0000000    
   100.000000       62.5241318       36.7822876       27.9379787       34.4058495       50.0000000    
   100.000000       62.7690811       37.1350250       28.2576199       34.5963593       50.0000000    
   100.000000       63.0111656       37.4848213       28.5752563       34.7855873       50.0000000    
   100.000000       63.2504463       37.8316956       28.8908844       34.9735489       50.0000000    
   100.000000       63.4869766       38.1756744       29.2045002       35.1602516       50.0000000    
   100.000000       63.7208138       38.5167732       29.5160999       35.3457069       50.0000000    
   100.000000       63.9520073       38.8550186       29.8256817       35.5299225       50.0000000    
   100.000000       64.1806107       39.1904297       30.1332455       35.7129097       50.0000000    
   100.000000       64.4066696       39.5230293       30.4387894       35.8946762       50.0000000    
   100.000000       64.6302338       39.8528404       30.7423153       36.0752335       50.0000000    
   100.000000       64.8513489       40.1798859       31.0438213       36.2545891       50.0000000    
   100.000000       65.0700607       40.5041885       31.3433113       36.4327507       50.0000000    
   100.000000       65.2864075       40.8257675       31.6407871       36.6097260       50.0000000    
   100.000000       65.5004349       41.1446457       31.9362507       36.7855225       50.0000000    
   100.000000       65.7121887       41.4608459       32.2297058       36.9601479       50.0000000    
   100.000000       65.9216995       41.7743912       32.5211525       37.1336060       50.0000000    
   100.000000       66.1290054       42.0853043       32.8106003       37.3059082       50.0000000    
   100.000000       66.3341522       42.3936081       33.0980492       37.4770584       50.0000000    
   100.000000       66.5371704       42.6993217       33.3835068       37.6470642       50.0000000    
   100.000000       66.7380905       43.0024681       33.6669769       37.8159294       50.0000000    
   100.000000       66.9369507       43.3030701       33.9484634       37.9836617       50.0000000    
   100.000000       67.1337814       43.6011505       34.2279739       38.1502686       50.0000000    
   100.000000       67.3286209       43.8967285       34.5055161       38.3157539       50.0000000    
   100.000000       67.5214920       44.1898270       34.7810974       38.4801254       50.0000000    
   100.000000       67.7124329       44.4804688       35.0547218       38.6433868       50.0000000    
   100.000000       67.9014664       44.7686729       35.3263969       38.8055420       50.0000000    
   100.000000       68.0886230       45.0544624       35.5961304       38.9665985       50.0000000    
   100.000000       68.2739334       45.3378563       35.8639297       39.1265640       50.0000000    
   100.000000       68.4574280       45.6188774       36.1298065       39.2854385       50.0000000    
   100.000000       68.6391220       45.8975487       36.3937645       39.4432297       50.0000000    
